Тип товара интернет ;Вид светильника интернет ;"Шаблон ""Наименование"" - пример как может выглядеть" ;Функциональный вид - особенность web ;Тип монтажа/установки ;Единственное число для товара
Электроустановочные изделия ;Рамки ;Рамка {$article} ;однопостовые, двупостовые, трехпостовые, четырехпостовые, пятипостовые ;накладные, встраиваемые ;Рамка
Электроустановочные изделия ;Лицевые панели, заглушки ;Панель {$article} ; ; ;Панель
Электроустановочные изделия ;Диммеры, светорегуляторы ;Светорегулятор {$article} ;клавишные, поворотные, сенсорные ; ;Светорегулятор
Электроустановочные изделия ;Терморегуляторы ;Терморегулятор {$article} ; ; ;Терморегулятор
Электроустановочные изделия ;Датчики движения ;Датчик движения {$article} ; ; ;Датчик движения
Электроустановочные изделия ;Датчики освещенности ;Датчики освещенности {$article} ; ; ;Датчики освещенности
Электроустановочные изделия ;Реле wifi ;Реле wifi {$article} ; ; ;Реле wifi
Электроустановочные изделия ;Таймеры ;Таймер {$article} ; ; ;Таймер
Электроустановочные изделия ;Звонки ;Звонок {$article} ; ; ;Звонок
Электроустановочные изделия ;Удлинители, сетевые фильтры ;Розетка {$article} ; ; ;Розетка
Электроустановочные изделия ;Кабели ;Кабель {$article} ; ; ;Кабель
Электроустановочные изделия ;Патроны ;Патрон {$article} ; ; ;Патрон
Электроустановочные изделия ;Разветвители ;Разветвитель {$article} ; ; ;Разветвитель
Электроустановочные изделия ;Распаячные коробки ;Распаячная коробка {$article} ; ; ;Распаячная коробка
Электроустановочные изделия ;Клеммы ;Клемма {$article} ; ; ;Клемма
Декор ;Зеркала ;Зеркало {$article} ;зеркальные панно, зеркала с фацетом, в раме, без рамы, зеркала с подсветкой, гримерные зеркала, зеркала для ванных комнат ;напольные, настенные, настольные ;Зеркало
Декор ;Картины ;Картина {$article} ;на холстах, модульные ; ;Картина
Декор ;Часы ;Часы {$vendor} {$collection} {$article} ; ; ;Часы
Декор ;Постеры ;Постер {$vendor} {$collection} {$article} ; ; ;Постер
Декор ;Декоративные панно ;Декоративное панно {$vendor} {$collection} {$article} ; ; ;Декоративное панно
Декор ;Камины ;Камин {$vendor} {$collection} {$article} ; ; ;Камин
Декор ;Ключницы ;Ключница {$vendor} {$collection} {$article} ; ; ;Ключница
Мебель ;Столы ;Стол {$article} ;банкетные, барные, журнальные, компьютерные, кухонные ; ;Стол
Мебель ;Стулья ;Стул {$article} ;барные, обеденные, табуреты, лавки ; ;Стул
Мебель ;Мягкая мебель ;{$osobennost} Вид светильника Интернет {$vendor} {$collection} {$article};банкетки, диваны, пуфы, кресла ; ;{$osobennost}
Мебель ;Стеллажи ;Стеллаж {$vendor} {$collection} {$article} ; ; ;Стеллаж
Мебель ;Комоды, тумбы ;{$osobennost} Вид светильника Интернет {$vendor} {$collection} {$article};комоды, тумбы ; ;{$osobennost}
